"date_key","full_date","date_name","date_name_us","date_name_eu","day_of_week","day_name_of_week","day_of_month","day_of_year","weekday_weekend","week_of_year","month_name","month_of_year","is_last_day_of_month","calendar_quarter","calendar_year","calendar_year_month","calendar_year_qtr","fiscal_month_of_year","fiscal_quarter","fiscal_year","fiscal_year_month","fiscal_year_qtr"
"20050222","2005-02-22","2005/02/22","02/22/2005","22/02/2005","3","Tuesday","22","53","Weekday","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050223","2005-02-23","2005/02/23","02/23/2005","23/02/2005","4","Wednesday","23","54","Weekday","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050224","2005-02-24","2005/02/24","02/24/2005","24/02/2005","5","Thursday","24","55","Weekday","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050225","2005-02-25","2005/02/25","02/25/2005","25/02/2005","6","Friday","25","56","Weekday","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050226","2005-02-26","2005/02/26","02/26/2005","26/02/2005","7","Saturday","26","57","Weekend","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050227","2005-02-27","2005/02/27","02/27/2005","27/02/2005","1","Sunday","27","58","Weekend","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050228","2005-02-28","2005/02/28","02/28/2005","28/02/2005","2","Monday","28","59","Weekday","9","February","2","Y","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050301","2005-03-01","2005/03/01","03/01/2005","01/03/2005","3","Tuesday","1","60","Weekday","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050302","2005-03-02","2005/03/02","03/02/2005","02/03/2005","4","Wednesday","2","61","Weekday","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050303","2005-03-03","2005/03/03","03/03/2005","03/03/2005","5","Thursday","3","62","Weekday","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050304","2005-03-04","2005/03/04","03/04/2005","04/03/2005","6","Friday","4","63","Weekday","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050305","2005-03-05","2005/03/05","03/05/2005","05/03/2005","7","Saturday","5","64","Weekend","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050306","2005-03-06","2005/03/06","03/06/2005","06/03/2005","1","Sunday","6","65","Weekend","9","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050307","2005-03-07","2005/03/07","03/07/2005","07/03/2005","2","Monday","7","66","Weekday","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050308","2005-03-08","2005/03/08","03/08/2005","08/03/2005","3","Tuesday","8","67","Weekday","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050309","2005-03-09","2005/03/09","03/09/2005","09/03/2005","4","Wednesday","9","68","Weekday","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050310","2005-03-10","2005/03/10","03/10/2005","10/03/2005","5","Thursday","10","69","Weekday","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050311","2005-03-11","2005/03/11","03/11/2005","11/03/2005","6","Friday","11","70","Weekday","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050312","2005-03-12","2005/03/12","03/12/2005","12/03/2005","7","Saturday","12","71","Weekend","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050313","2005-03-13","2005/03/13","03/13/2005","13/03/2005","1","Sunday","13","72","Weekend","10","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050314","2005-03-14","2005/03/14","03/14/2005","14/03/2005","2","Monday","14","73","Weekday","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050315","2005-03-15","2005/03/15","03/15/2005","15/03/2005","3","Tuesday","15","74","Weekday","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050316","2005-03-16","2005/03/16","03/16/2005","16/03/2005","4","Wednesday","16","75","Weekday","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050317","2005-03-17","2005/03/17","03/17/2005","17/03/2005","5","Thursday","17","76","Weekday","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050318","2005-03-18","2005/03/18","03/18/2005","18/03/2005","6","Friday","18","77","Weekday","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050319","2005-03-19","2005/03/19","03/19/2005","19/03/2005","7","Saturday","19","78","Weekend","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050320","2005-03-20","2005/03/20","03/20/2005","20/03/2005","1","Sunday","20","79","Weekend","11","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050321","2005-03-21","2005/03/21","03/21/2005","21/03/2005","2","Monday","21","80","Weekday","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050322","2005-03-22","2005/03/22","03/22/2005","22/03/2005","3","Tuesday","22","81","Weekday","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050323","2005-03-23","2005/03/23","03/23/2005","23/03/2005","4","Wednesday","23","82","Weekday","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050324","2005-03-24","2005/03/24","03/24/2005","24/03/2005","5","Thursday","24","83","Weekday","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050325","2005-03-25","2005/03/25","03/25/2005","25/03/2005","6","Friday","25","84","Weekday","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050326","2005-03-26","2005/03/26","03/26/2005","26/03/2005","7","Saturday","26","85","Weekend","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050327","2005-03-27","2005/03/27","03/27/2005","27/03/2005","1","Sunday","27","86","Weekend","12","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050328","2005-03-28","2005/03/28","03/28/2005","28/03/2005","2","Monday","28","87","Weekday","13","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050329","2005-03-29","2005/03/29","03/29/2005","29/03/2005","3","Tuesday","29","88","Weekday","13","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050330","2005-03-30","2005/03/30","03/30/2005","30/03/2005","4","Wednesday","30","89","Weekday","13","March","3","N","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050331","2005-03-31","2005/03/31","03/31/2005","31/03/2005","5","Thursday","31","90","Weekday","13","March","3","Y","1","2005","2005-03","2005Q1","3","1","2005","2005-03","2005Q1"
"20050401","2005-04-01","2005/04/01","04/01/2005","01/04/2005","6","Friday","1","91","Weekday","13","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050402","2005-04-02","2005/04/02","04/02/2005","02/04/2005","7","Saturday","2","92","Weekend","13","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050403","2005-04-03","2005/04/03","04/03/2005","03/04/2005","1","Sunday","3","93","Weekend","13","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050404","2005-04-04","2005/04/04","04/04/2005","04/04/2005","2","Monday","4","94","Weekday","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050405","2005-04-05","2005/04/05","04/05/2005","05/04/2005","3","Tuesday","5","95","Weekday","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050406","2005-04-06","2005/04/06","04/06/2005","06/04/2005","4","Wednesday","6","96","Weekday","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050407","2005-04-07","2005/04/07","04/07/2005","07/04/2005","5","Thursday","7","97","Weekday","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050408","2005-04-08","2005/04/08","04/08/2005","08/04/2005","6","Friday","8","98","Weekday","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050409","2005-04-09","2005/04/09","04/09/2005","09/04/2005","7","Saturday","9","99","Weekend","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050410","2005-04-10","2005/04/10","04/10/2005","10/04/2005","1","Sunday","10","100","Weekend","14","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050411","2005-04-11","2005/04/11","04/11/2005","11/04/2005","2","Monday","11","101","Weekday","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050412","2005-04-12","2005/04/12","04/12/2005","12/04/2005","3","Tuesday","12","102","Weekday","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050413","2005-04-13","2005/04/13","04/13/2005","13/04/2005","4","Wednesday","13","103","Weekday","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050414","2005-04-14","2005/04/14","04/14/2005","14/04/2005","5","Thursday","14","104","Weekday","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050415","2005-04-15","2005/04/15","04/15/2005","15/04/2005","6","Friday","15","105","Weekday","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050416","2005-04-16","2005/04/16","04/16/2005","16/04/2005","7","Saturday","16","106","Weekend","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050417","2005-04-17","2005/04/17","04/17/2005","17/04/2005","1","Sunday","17","107","Weekend","15","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050418","2005-04-18","2005/04/18","04/18/2005","18/04/2005","2","Monday","18","108","Weekday","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050419","2005-04-19","2005/04/19","04/19/2005","19/04/2005","3","Tuesday","19","109","Weekday","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050420","2005-04-20","2005/04/20","04/20/2005","20/04/2005","4","Wednesday","20","110","Weekday","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050421","2005-04-21","2005/04/21","04/21/2005","21/04/2005","5","Thursday","21","111","Weekday","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050422","2005-04-22","2005/04/22","04/22/2005","22/04/2005","6","Friday","22","112","Weekday","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050423","2005-04-23","2005/04/23","04/23/2005","23/04/2005","7","Saturday","23","113","Weekend","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050424","2005-04-24","2005/04/24","04/24/2005","24/04/2005","1","Sunday","24","114","Weekend","16","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050425","2005-04-25","2005/04/25","04/25/2005","25/04/2005","2","Monday","25","115","Weekday","17","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050426","2005-04-26","2005/04/26","04/26/2005","26/04/2005","3","Tuesday","26","116","Weekday","17","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050427","2005-04-27","2005/04/27","04/27/2005","27/04/2005","4","Wednesday","27","117","Weekday","17","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050428","2005-04-28","2005/04/28","04/28/2005","28/04/2005","5","Thursday","28","118","Weekday","17","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050429","2005-04-29","2005/04/29","04/29/2005","29/04/2005","6","Friday","29","119","Weekday","17","April","4","N","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050430","2005-04-30","2005/04/30","04/30/2005","30/04/2005","7","Saturday","30","120","Weekend","17","April","4","Y","2","2005","2005-04","2005Q2","4","2","2005","2005-04","2005Q2"
"20050501","2005-05-01","2005/05/01","05/01/2005","01/05/2005","1","Sunday","1","121","Weekend","17","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050502","2005-05-02","2005/05/02","05/02/2005","02/05/2005","2","Monday","2","122","Weekday","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050503","2005-05-03","2005/05/03","05/03/2005","03/05/2005","3","Tuesday","3","123","Weekday","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050504","2005-05-04","2005/05/04","05/04/2005","04/05/2005","4","Wednesday","4","124","Weekday","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050505","2005-05-05","2005/05/05","05/05/2005","05/05/2005","5","Thursday","5","125","Weekday","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050506","2005-05-06","2005/05/06","05/06/2005","06/05/2005","6","Friday","6","126","Weekday","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050507","2005-05-07","2005/05/07","05/07/2005","07/05/2005","7","Saturday","7","127","Weekend","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050508","2005-05-08","2005/05/08","05/08/2005","08/05/2005","1","Sunday","8","128","Weekend","18","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050509","2005-05-09","2005/05/09","05/09/2005","09/05/2005","2","Monday","9","129","Weekday","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050510","2005-05-10","2005/05/10","05/10/2005","10/05/2005","3","Tuesday","10","130","Weekday","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050511","2005-05-11","2005/05/11","05/11/2005","11/05/2005","4","Wednesday","11","131","Weekday","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050512","2005-05-12","2005/05/12","05/12/2005","12/05/2005","5","Thursday","12","132","Weekday","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050513","2005-05-13","2005/05/13","05/13/2005","13/05/2005","6","Friday","13","133","Weekday","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050514","2005-05-14","2005/05/14","05/14/2005","14/05/2005","7","Saturday","14","134","Weekend","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050515","2005-05-15","2005/05/15","05/15/2005","15/05/2005","1","Sunday","15","135","Weekend","19","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050516","2005-05-16","2005/05/16","05/16/2005","16/05/2005","2","Monday","16","136","Weekday","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050517","2005-05-17","2005/05/17","05/17/2005","17/05/2005","3","Tuesday","17","137","Weekday","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050518","2005-05-18","2005/05/18","05/18/2005","18/05/2005","4","Wednesday","18","138","Weekday","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050519","2005-05-19","2005/05/19","05/19/2005","19/05/2005","5","Thursday","19","139","Weekday","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050520","2005-05-20","2005/05/20","05/20/2005","20/05/2005","6","Friday","20","140","Weekday","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050521","2005-05-21","2005/05/21","05/21/2005","21/05/2005","7","Saturday","21","141","Weekend","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050522","2005-05-22","2005/05/22","05/22/2005","22/05/2005","1","Sunday","22","142","Weekend","20","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050523","2005-05-23","2005/05/23","05/23/2005","23/05/2005","2","Monday","23","143","Weekday","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050524","2005-05-24","2005/05/24","05/24/2005","24/05/2005","3","Tuesday","24","144","Weekday","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050525","2005-05-25","2005/05/25","05/25/2005","25/05/2005","4","Wednesday","25","145","Weekday","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050526","2005-05-26","2005/05/26","05/26/2005","26/05/2005","5","Thursday","26","146","Weekday","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050527","2005-05-27","2005/05/27","05/27/2005","27/05/2005","6","Friday","27","147","Weekday","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
"20050528","2005-05-28","2005/05/28","05/28/2005","28/05/2005","7","Saturday","28","148","Weekend","21","May","5","N","2","2005","2005-05","2005Q2","5","2","2005","2005-05","2005Q2"
